state,state_abbreviation,county,party,candidate,votes,fraction_votes,fips
Alabama,AL,Autauga,Democrat,Bernie Sanders,544,0.182,1001
Alabama,AL,Autauga,Democrat,Hillary Clinton,2387,0.8,1001
Alabama,AL,Baldwin,Democrat,Bernie Sanders,2694,0.329,1003
Alabama,AL,Baldwin,Democrat,Hillary Clinton,5290,0.647,1003
Alabama,AL,Barbour,Democrat,Bernie Sanders,222,0.078,1005
Alabama,AL,Barbour,Democrat,Hillary Clinton,2567,0.906,1005
Alabama,AL,Bibb,Democrat,Bernie Sanders,246,0.197,1007
Alabama,AL,Bibb,Democrat,Hillary Clinton,942,0.755,1007
Alabama,AL,Blount,Democrat,Bernie Sanders,395,0.386,1009
Alabama,AL,Blount,Democrat,Hillary Clinton,564,0.551,1009
Alabama,AL,Bullock,Democrat,Bernie Sanders,178,0.066,1011
Alabama,AL,Bullock,Democrat,Hillary Clinton,2451,0.913,1011
Alabama,AL,Butler,Democrat,Bernie Sanders,156,0.065,1013
Alabama,AL,Butler,Democrat,Hillary Clinton,2196,0.921,1013
Alabama,AL,Calhoun,Democrat,Bernie Sanders,1425,0.218,1015
Alabama,AL,Calhoun,Democrat,Hillary Clinton,5011,0.765,1015
Alabama,AL,Chambers,Democrat,Bernie Sanders,312,0.095,1017
Alabama,AL,Chambers,Democrat,Hillary Clinton,2899,0.886,1017
Alabama,AL,Cherokee,Democrat,Bernie Sanders,268,0.249,1019
Alabama,AL,Cherokee,Democrat,Hillary Clinton,712,0.661,1019
Alabama,AL,Chilton,Democrat,Bernie Sanders,289,0.246,1021
Alabama,AL,Chilton,Democrat,Hillary Clinton,860,0.731,1021
Alabama,AL,Choctaw,Democrat,Bernie Sanders,273,0.124,1023
Alabama,AL,Choctaw,Democrat,Hillary Clinton,1772,0.802,1023
Alabama,AL,Clarke,Democrat,Bernie Sanders,213,0.063,1025
Alabama,AL,Clarke,Democrat,Hillary Clinton,3148,0.93,1025
Alabama,AL,Clay,Democrat,Bernie Sanders,135,0.137,1027
Alabama,AL,Clay,Democrat,Hillary Clinton,807,0.818,1027
Alabama,AL,Cleburne,Democrat,Bernie Sanders,72,0.238,1029
Alabama,AL,Cleburne,Democrat,Hillary Clinton,221,0.732,1029
Alabama,AL,Coffee,Democrat,Bernie Sanders,389,0.201,1031
Alabama,AL,Coffee,Democrat,Hillary Clinton,1493,0.772,1031
Alabama,AL,Colbert,Democrat,Bernie Sanders,1342,0.225,1033
Alabama,AL,Colbert,Democrat,Hillary Clinton,3879,0.65,1033
Alabama,AL,Conecuh,Democrat,Bernie Sanders,544,0.191,1035
Alabama,AL,Conecuh,Democrat,Hillary Clinton,2031,0.714,1035
Alabama,AL,Coosa,Democrat,Bernie Sanders,125,0.108,1037
Alabama,AL,Coosa,Democrat,Hillary Clinton,1012,0.877,1037
Alabama,AL,Covington,Democrat,Bernie Sanders,188,0.197,1039
Alabama,AL,Covington,Democrat,Hillary Clinton,737,0.773,1039
Alabama,AL,Crenshaw,Democrat,Bernie Sanders,107,0.103,1041
Alabama,AL,Crenshaw,Democrat,Hillary Clinton,908,0.878,1041
Alabama,AL,Cullman,Democrat,Bernie Sanders,723,0.345,1043
Alabama,AL,Cullman,Democrat,Hillary Clinton,1275,0.608,1043
Alabama,AL,Dale,Democrat,Bernie Sanders,415,0.207,1045
Alabama,AL,Dale,Democrat,Hillary Clinton,1544,0.77,1045
Alabama,AL,Dallas,Democrat,Bernie Sanders,1774,0.154,1047
Alabama,AL,Dallas,Democrat,Hillary Clinton,8577,0.744,1047
Alabama,AL,DeKalb,Democrat,Bernie Sanders,667,0.323,1049
Alabama,AL,DeKalb,Democrat,Hillary Clinton,1297,0.629,1049
Alabama,AL,Elmore,Democrat,Bernie Sanders,694,0.184,1051
Alabama,AL,Elmore,Democrat,Hillary Clinton,3019,0.801,1051
Alabama,AL,Escambia,Democrat,Bernie Sanders,226,0.099,1053
Alabama,AL,Escambia,Democrat,Hillary Clinton,2027,0.885,1053
Alabama,AL,Etowah,Democrat,Bernie Sanders,1289,0.226,1055
Alabama,AL,Etowah,Democrat,Hillary Clinton,4262,0.746,1055
Alabama,AL,Fayette,Democrat,Bernie Sanders,148,0.172,1057
Alabama,AL,Fayette,Democrat,Hillary Clinton,660,0.767,1057
Alabama,AL,Franklin,Democrat,Bernie Sanders,767,0.301,1059
Alabama,AL,Franklin,Democrat,Hillary Clinton,1233,0.484,1059
Alabama,AL,Geneva,Democrat,Bernie Sanders,157,0.216,1061
Alabama,AL,Geneva,Democrat,Hillary Clinton,544,0.749,1061
Alabama,AL,Greene,Democrat,Bernie Sanders,213,0.071,1063
Alabama,AL,Greene,Democrat,Hillary Clinton,2714,0.901,1063
Alabama,AL,Hale,Democrat,Bernie Sanders,427,0.14,1065
Alabama,AL,Hale,Democrat,Hillary Clinton,2426,0.796,1065
Alabama,AL,Henry,Democrat,Bernie Sanders,163,0.119,1067
Alabama,AL,Henry,Democrat,Hillary Clinton,1170,0.856,1067
Alabama,AL,Houston,Democrat,Bernie Sanders,780,0.201,1069
Alabama,AL,Houston,Democrat,Hillary Clinton,3044,0.783,1069
Alabama,AL,Jackson,Democrat,Bernie Sanders,510,0.269,1071
Alabama,AL,Jackson,Democrat,Hillary Clinton,1327,0.7,1071
Alabama,AL,Jefferson,Democrat,Bernie Sanders,14319,0.174,1073
Alabama,AL,Jefferson,Democrat,Hillary Clinton,67357,0.816,1073
Alabama,AL,Lamar,Democrat,Bernie Sanders,173,0.241,1075
Alabama,AL,Bibb,Republican,John Kasich,84,0.021,1007
Alabama,AL,Lamar,Democrat,Hillary Clinton,442,0.616,1075
Alabama,AL,Lauderdale,Democrat,Bernie Sanders,1745,0.309,1077
Alabama,AL,Lauderdale,Democrat,Hillary Clinton,3676,0.652,1077
Alabama,AL,Lawrence,Democrat,Bernie Sanders,428,0.162,1079
Alabama,AL,Lawrence,Democrat,Hillary Clinton,2047,0.777,1079
Alabama,AL,Lee,Democrat,Bernie Sanders,2464,0.254,1081
Alabama,AL,Lee,Democrat,Hillary Clinton,7137,0.736,1081
Alabama,AL,Limestone,Democrat,Bernie Sanders,1120,0.255,1083
Alabama,AL,Limestone,Democrat,Hillary Clinton,3199,0.728,1083
Alabama,AL,Lowndes,Democrat,Bernie Sanders,330,0.077,1085
Alabama,AL,Lowndes,Democrat,Hillary Clinton,3782,0.887,1085
Alabama,AL,Macon,Democrat,Bernie Sanders,483,0.1,1087
Alabama,AL,Macon,Democrat,Hillary Clinton,4293,0.892,1087
Alabama,AL,Madison,Democrat,Bernie Sanders,8786,0.301,1089
Alabama,AL,Madison,Democrat,Hillary Clinton,19995,0.686,1089
Alabama,AL,Marengo,Democrat,Bernie Sanders,1092,0.2,1091
Alabama,AL,Marengo,Democrat,Hillary Clinton,3590,0.658,1091
Alabama,AL,Marion,Democrat,Bernie Sanders,256,0.296,1093
Alabama,AL,Marion,Democrat,Hillary Clinton,567,0.655,1093
Alabama,AL,Marshall,Democrat,Bernie Sanders,821,0.341,1095
Alabama,AL,Marshall,Democrat,Hillary Clinton,1494,0.621,1095
Alabama,AL,Mobile,Democrat,Bernie Sanders,5672,0.162,1097
Alabama,AL,Mobile,Democrat,Hillary Clinton,28927,0.827,1097
Alabama,AL,Monroe,Democrat,Bernie Sanders,205,0.076,1099
Alabama,AL,Monroe,Democrat,Hillary Clinton,2438,0.909,1099
